ship_city,ship_state,ship_postal_code,location_id
CHENNAI,TAMIL NADU,600028.0,82
VADODARA,Gujarat,390018.0,83
VADODARA,Gujarat,390003.0,84
PUNE,MAHARASHTRA,411046.0,85
Jammu,JAMMU & KASHMIR,180011.0,86
bangalore,KARNATAKA,560026.0,87
NEW DELHI,DELHI,110036.0,88
NARNAUND,HARYANA,125039.0,89
Ahmedabad,Gujarat,380051.0,90
AMBARNATH,MAHARASHTRA,421502.0,91
GWALIOR,MADHYA PRADESH,474005.0,92
NEW DELHI,DELHI,110078.0,93
ROHTAK,HARYANA,124001.0,94
Kolkata,WEST BENGAL,700156.0,95
NEW DELHI,DELHI,110034.0,96
HYDERABAD,TELANGANA,500054.0,97
PATNA,BIHAR,800002.0,98
RAMAGUNDAM,TELANGANA,505211.0,99
PITHORAGARH,UTTARAKHAND,262501.0,100
KOLKATA,WEST BENGAL,700057.0,101
MUMBAI,MAHARASHTRA,400101.0,102
HYDERABAD,TELANGANA,500053.0,103
"GUWAHATI, KAMRUP (M)",ASSAM,781014.0,104
KOLAR,KARNATAKA,563101.0,105
PATIALA,PUNJAB,147001.0,106
REWA,MADHYA PRADESH,486001.0,107
BONGAIGAON,ASSAM,783380.0,108
HYDERABAD,TELANGANA,500087.0,109
BENGALURU,KARNATAKA,560055.0,110
Chengalpattu,TAMIL NADU,603002.0,111
PERAMBALUR,TAMIL NADU,621212.0,112
BILASPUR,HIMACHAL PRADESH,174001.0,113
CHENNAI,TAMIL NADU,600099.0,114
VARANASI,UTTAR PRADESH,221010.0,115
BENGALURU,KARNATAKA,560036.0,116
COIMBATORE,TAMIL NADU,641035.0,117
CHIRMIRI,CHHATTISGARH,497449.0,118
AZAMGARH,UTTAR PRADESH,276302.0,119
KALYAN,MAHARASHTRA,421306.0,120
NEW DELHI,DELHI,110016.0,121
GUWAHATI,ASSAM,781026.0,122
MYSORE,KARNATAKA,570008.0,123
BARABANKI,UTTAR PRADESH,225001.0,124
AMILA,UTTAR PRADESH,275301.0,125
VIJAYAWADA,ANDHRA PRADESH,520010.0,126
RAWAN AMBUJA CEMENT PLANT,CHHATTISGARH,493331.0,127
HERBERTPUR,UTTARAKHAND,248142.0,128
BENGALURU,KARNATAKA,560048.0,129
KALAMASSERY,KERALA,682021.0,130
Puri-2,ODISHA,752002.0,131
TIKABALI,ODISHA,762010.0,132
BIHARSHARIF,BIHAR,803115.0,133
HYDERABAD,TELANGANA,500075.0,134
PARAVUR,KERALA,683513.0,135
BASTI,UTTAR PRADESH,272001.0,136
WALAJAPET,TAMIL NADU,632513.0,137
Dimapur,NAGALAND,797112.0,138
Bengaluru,KARNATAKA,560029.0,139
Mahendragarh,HARYANA,123027.0,140
HYDERABAD,TELANGANA,500086.0,141
New Delhi,DELHI,110019.0,142
GURUGRAM,HARYANA,122002.0,143
BENGALURU,KARNATAKA,560022.0,144
MUMBAI,MAHARASHTRA,400069.0,145
BIJNOR,UTTAR PRADESH,246722.0,146
MUMBAI,MAHARASHTRA,400078.0,147
ALLAHABAD,UTTAR PRADESH,211001.0,148
VASAI VIRAR,MAHARASHTRA,401202.0,149
BENGALURU,KARNATAKA,560087.0,150
BIJNOR,UTTAR PRADESH,246701.0,151
HYDERABAD,TELANGANA,500090.0,152
BENGALURU,KARNATAKA,560075.0,153
MANGALURU,KARNATAKA,575001.0,154
HYDERABAD,TELANGANA,500034.0,155
NEW TOWN,WEST BENGAL,700059.0,156
MUMBAI,MAHARASHTRA,400016.0,157
SAMBHAL,UTTAR PRADESH,244302.0,158
NAGPUR,MAHARASHTRA,441002.0,159
ELAVANASURKOTTAI,TAMIL NADU,607202.0,160
SANGLI MIRAJ KUPWAD,MAHARASHTRA,416410.0,161
MYSURU,KARNATAKA,570016.0,162
ANKLESHWR,Gujarat,393002.0,163
Chennai,TAMIL NADU,600117.0,164
Greater Noida West,UTTAR PRADESH,201009.0,165
JAMMU,JAMMU & KASHMIR,180007.0,166
ITANAGAR,ARUNACHAL PRADESH,791113.0,167
KOLKATA,WEST BENGAL,700075.0,168
KARANJA,MAHARASHTRA,444105.0,169
NIMBAHERA,RAJASTHAN,312620.0,170
Imphal East,MANIPUR,795010.0,171
BIDHAN NAGAR,WEST BENGAL,700064.0,172
BENGALURU,KARNATAKA,560064.0,173
AHMEDABAD,Gujarat,380015.0,174
TIRUCHIRAPPALLI,TAMIL NADU,620001.0,175
BHUBANESWAR,ODISHA,752054.0,176
ALIGARH,UTTAR PRADESH,202001.0,177
KOCHI,KERALA,682006.0,178
GHAZIABAD,UTTAR PRADESH,201014.0,179
PUNE,MAHARASHTRA,412207.0,180
Bangalore,KARNATAKA,560016.0,181
MALAPPURAM,KERALA,676517.0,182
NOIDA,UTTAR PRADESH,201301.0,183
GREATER NOIDA,UTTAR PRADESH,201308.0,184
PATNA,BIHAR,800023.0,185
SIBSAGAR,ASSAM,785674.0,186
GAYA,BIHAR,823001.0,187
BENGALURU,KARNATAKA,560083.0,188
GURUGRAM,HARYANA,122001.0,189
KOLLAM,KERALA,691522.0,190
PERALASSERI,KERALA,670622.0,191
BENGALURU,KARNATAKA,560102.0,192
BENGALURU,KARNATAKA,560100.0,193
UDUPI,KARNATAKA,576104.0,194
MARIANI,ASSAM,785634.0,195
NEW DELHI,DELHI,110075.0,196
MANGALURU,KARNATAKA,575006.0,197
AHMEDABAD,Gujarat,380022.0,198
KOLKATA,WEST BENGAL,700051.0,199
COOCH BEHAR,WEST BENGAL,736101.0,200
BENGALURU,KARNATAKA,560029.0,201
PUNE,MAHARASHTRA,411037.0,202
DEHRADUN,UTTARAKHAND,248009.0,203
JHARIA KHAS,JHARKHAND,828111.0,204
KOLKATA,WEST BENGAL,700070.0,205
Secunderabad,TELANGANA,500010.0,206
UDAIPUR,RAJASTHAN,313001.0,207
COIMBATORE,TAMIL NADU,641030.0,208
BHUBANESWAR,ODISHA,751006.0,209
BHAGALPUR,BIHAR,812003.0,210
NAGPUR,MAHARASHTRA,440036.0,211
CHENNAI,TAMIL NADU,600096.0,212
BERHAMPORE,WEST BENGAL,742103.0,213
Dehradun,UTTARAKHAND,248001.0,214
SEONI,MADHYA PRADESH,480661.0,215
Agra,UTTAR PRADESH,282002.0,216
LUCKNOW,UTTAR PRADESH,226029.0,217
BENGALURU,KARNATAKA,560067.0,218
PATNA,BIHAR,800001.0,219
GHAZIABAD,UTTAR PRADESH,201012.0,220
Nermand,HIMACHAL PRADESH,172023.0,221
CHENNAI,TAMIL NADU,600010.0,222
KAMAREDDY,TELANGANA,503111.0,223
SRINAGAR,JAMMU & KASHMIR,190015.0,224
BENGALURU,KARNATAKA,560042.0,225
MUDDEBIHAL,KARNATAKA,586212.0,226
SANTHAMAGULURU MANDAL,ANDHRA PRADESH,523302.0,227
HYDERABAD,TELANGANA,500058.0,228
NEW DELHI,DELHI,110045.0,229
Hyderabad,TELANGANA,500032.0,230
BENGALURU,KARNATAKA,562125.0,231
KOLKATA 700034,WEST BENGAL,700034.0,232
kolkata,WEST BENGAL,700045.0,233
HYDERABAD,TELANGANA,500001.0,234
BARUIPUR,WEST BENGAL,700145.0,235
KENDRAPARA,ODISHA,754211.0,236
VIJAYAWADA,ANDHRA PRADESH,521225.0,237
MUMBAI,MAHARASHTRA,400072.0,238
NASHIK,MAHARASHTRA,422003.0,239
THANE,MAHARASHTRA,401107.0,240
HOSHIARPUR,PUNJAB,146001.0,241
BENGALURU,KARNATAKA,560010.0,242
Bengaluru,KARNATAKA,560017.0,243
BARSHI,MAHARASHTRA,413401.0,244
HYDERABAD,TELANGANA,500089.0,245
BENGALURU,KARNATAKA,560068.0,246
CHENNAI,TAMIL NADU,600036.0,247
CHANDI MANDIR,HARYANA,134107.0,248
ujjain,MADHYA PRADESH,456010.0,249
Haldwani,UTTARAKHAND,263139.0,250
CHENNAI,TAMIL NADU,600125.0,251
MUMBAI,MAHARASHTRA,400049.0,252
Uttarkashi,UTTARAKHAND,249193.0,253
Old Goa,Goa,403107.0,254
MAHESHWAR,MADHYA PRADESH,451224.0,255
HARDOI,UTTAR PRADESH,241001.0,256
HYDERABAD,TELANGANA,500073.0,257
SHILLONG,MEGHALAYA,793008.0,258
DHAMNOD DHAR DISTRICT,MADHYA PRADESH,454552.0,259
BENGALURU,KARNATAKA,560070.0,260
CHAKDAHA,WEST BENGAL,741222.0,261
CHENNAI,TAMIL NADU,600082.0,262
KOLKATA,WEST BENGAL,700044.0,263
CHIKKAMAGALURU,KARNATAKA,577101.0,264
BHUBANESWAR,ODISHA,751003.0,265
GURUGRAM,HARYANA,122018.0,266
KOLKATA,WEST BENGAL,700050.0,267
ALLAHABAD,UTTAR PRADESH,211004.0,268
LUCKNOW,UTTAR PRADESH,226022.0,269
KOLKATA,WEST BENGAL,700089.0,270
MALDA,WEST BENGAL,732101.0,271
DIMAPUR,NAGALAND,797112.0,272
Nellore,ANDHRA PRADESH,524314.0,273
CUNCOLIM,GOA,403703.0,274
Hyderabad,TELANGANA,500068.0,275
PUNE,MAHARASHTRA,411028.0,276
trivandrum,KERALA,695003.0,277
KANPUR,UTTAR PRADESH,208027.0,278
CHINNALAPATTI,TAMIL NADU,624301.0,279
BENGALURU,KARNATAKA,560072.0,280
BAGESHWAR,UTTARAKHAND,263642.0,281
NEW DELHI,DELHI,110059.0,282
BARRACKPORE,WEST BENGAL,700122.0,283
Dombivali  east,MAHARASHTRA,421201.0,284
NEW DELHI,DELHI,110017.0,285
PATNA,BIHAR,801105.0,286
Hyderabad,TELANGANA,500070.0,287
New delhi,DELHI,110085.0,288
NEW TOWN,WEST BENGAL,700135.0,289
HYDERABAD,TELANGANA,502319.0,290
NEW DELHI,DELHI,110096.0,291
SIBSAGAR,ASSAM,785667.0,292
JAMMU,JAMMU & KASHMIR,180015.0,293
Pune,MAHARASHTRA,411019.0,294
Pathanapuram,KERALA,689695.0,295
JAUNPUR,UTTAR PRADESH,222001.0,296
SOLAPUR,MAHARASHTRA,413001.0,297
PUNE,MAHARASHTRA,411047.0,298
MAHBUBNAGAR,TELANGANA,509001.0,299
Nk sweets Vikasnagar,UTTARAKHAND,248198.0,300
DARJEELING,WEST BENGAL,734101.0,301
RANCHI,JHARKHAND,834001.0,302
BENGALURU,KARNATAKA,560019.0,303
LUDHIANA,PUNJAB,141001.0,304
HYDERABAD,TELANGANA,500043.0,305
MUZAFFARPUR,BIHAR,842002.0,306
SECUNDERABAD,TELANGANA,500011.0,307
Sonbhadra,UTTAR PRADESH,231216.0,308
KAKINADA,ANDHRA PRADESH,533003.0,309
HALDIA,WEST BENGAL,721635.0,310
HYDERABAD,TELANGANA,500056.0,311
Tivim,GOA,403502.0,312
CHENNAI,TAMIL NADU,600024.0,313
Agra,UTTAR PRADESH,282001.0,314
MANDVI KACHCHH DISTRICT,Gujarat,370465.0,315
SAMBALPUR,ODISHA,768004.0,316
KANNIYAKUMARI,TAMIL NADU,629701.0,317
"Chinchwad ,Pune",MAHARASHTRA,411019.0,318
HYDERABAD,TELANGANA,500094.0,319
CHENNAI,TAMIL NADU,600091.0,320
Hyderabad,TELANGANA,500008.0,321
PURNIA,BIHAR,854301.0,322
kolkata,WEST BENGAL,700059.0,323
SHILLONG,MEGHALAYA,793022.0,324
PUNE,MAHARASHTRA,411057.0,325
TADEPALLIGUDEM,ANDHRA PRADESH,534101.0,326
Ghaziabad,UTTAR PRADESH,201001.0,327
GWALIOR,MADHYA PRADESH,474001.0,328
AKOLA,MAHARASHTRA,444101.0,329
JORHAT,ASSAM,785001.0,330
CHENNAI,TAMIL NADU,600100.0,331
RAMANAGARA,KARNATAKA,562159.0,332
Vijayapur,KARNATAKA,586109.0,333
BOKARO STEEL CITY,JHARKHAND,827001.0,334
BENGALURU,KARNATAKA,560008.0,335
LUCKNOW,UTTAR PRADESH,226002.0,336
KHAMMAM,TELANGANA,507003.0,337
NEW DELHI,DELHI,110084.0,338
AURANGABAD,MAHARASHTRA,431002.0,339
Pune,MAHARASHTRA,411014.0,340
GADARWARA,MADHYA PRADESH,487551.0,341
HYDERABAD,TELANGANA,500050.0,342
PUDUCHERRY,PUDUCHERRY,605001.0,343
SHIRDI,MAHARASHTRA,423109.0,344
VELLORE,TAMIL NADU,632004.0,345
noida,UTTAR PRADESH,201301.0,346
Mangaluru,KARNATAKA,575007.0,347
SINGRAULI,MADHYA PRADESH,486889.0,348
NEW DELHI,DELHI,110063.0,349
BENGALURU,KARNATAKA,560077.0,350
MUMBAI,MAHARASHTRA,400097.0,351
THRIPPUNITHURA,KERALA,682301.0,352
KENDUJHAR,ODISHA,758001.0,353
MUMBAI,MAHARASHTRA,400066.0,354
KALYAN,MAHARASHTRA,421201.0,355
CHENNAI,TAMIL NADU,600015.0,356
CHENNAI,TAMIL NADU,600115.0,357
GURUGRAM,HARYANA,122022.0,358
LUDHIANA,PUNJAB,141012.0,359
Nerul,GOA,403114.0,360
IMPHAL,MANIPUR,795004.0,361
PALASBARI,ASSAM,781120.0,362
Chikkaballapur,KARNATAKA,562101.0,363
Andul near maya stores,WEST BENGAL,711302.0,364
BENGALURU,KARNATAKA,560078.0,365
MUMBAI,MAHARASHTRA,400067.0,366
Mumbai,MAHARASHTRA,400078.0,367
HYDERABAD,TELANGANA,500067.0,368
BENGALURU,KARNATAKA,560011.0,369
BENGALURU,KARNATAKA,560035.0,370
SURAT,Gujarat,395007.0,371
CHITTOOR,ANDHRA PRADESH,517001.0,372
KADUR,KARNATAKA,577548.0,373
SURATGARH,RAJASTHAN,335804.0,374
MIRA ROAD,MAHARASHTRA,401107.0,375
MUMBAI,MAHARASHTRA,400095.0,376
DINANAGAR,PUNJAB,143531.0,377
KOLKATA,WEST BENGAL,700028.0,378
KALYAN,MAHARASHTRA,421004.0,379
ARAKANDANALLUR,TAMIL NADU,605752.0,380
BHOPAL,MADHYA PRADESH,462038.0,381
GURGAON,HARYANA,122001.0,382
HYDERABAD,TELANGANA,500036.0,383
Bhatgaon,CHHATTISGARH,497235.0,384
BHANJANAGAR,ODISHA,761126.0,385
VISAKHAPATNAM,ANDHRA PRADESH,531173.0,386
MADHURAWADA,ANDHRA PRADESH,530048.0,387
ALMORA,UTTARAKHAND,263601.0,388
PRODDATUR,ANDHRA PRADESH,516360.0,389
SHRIGONDA,MAHARASHTRA,413701.0,390
WARANGAL,TELANGANA,506330.0,391
CHENNAI,TAMIL NADU,600089.0,392
FAIZABAD,UTTAR PRADESH,224001.0,393
BHIWADI,RAJASTHAN,301019.0,394
BANGALORE,KARNATAKA,560078.0,395
NEW DELHI,DELHI,110085.0,396
ALLAHABAD,UTTAR PRADESH,211002.0,397
WARANGAL,TELANGANA,506009.0,398
Vadodara,Gujarat,390011.0,399
NEW DELHI,DELHI,110030.0,400
NASHIK,MAHARASHTRA,422101.0,401
Malda,WEST BENGAL,732103.0,402
KALYAN,MAHARASHTRA,421301.0,403
VISAKHAPATNAM,ANDHRA PRADESH,530047.0,404
KOLLAM,KERALA,690521.0,405
BENGALURU,KARNATAKA,560021.0,406
MUMBAI,MAHARASHTRA,400042.0,407
GUNTUR,ANDHRA PRADESH,522614.0,408
AHMEDABAD,Gujarat,380058.0,409
MANGALURU,KARNATAKA,575002.0,410
BENGALURU,KARNATAKA,560043.0,411
Pune,MAHARASHTRA,411033.0,412
ROORKEE,UTTARAKHAND,247667.0,413
NAGPUR,MAHARASHTRA,440006.0,414
Golabandha,ODISHA,761002.0,415
BHATPARA,WEST BENGAL,743127.0,416
Palampur,HIMACHAL PRADESH,176092.0,417
PUNE,MAHARASHTRA,411001.0,418
KANPUR,UTTAR PRADESH,208017.0,419
MUMBAI,MAHARASHTRA,400074.0,420
CHENNAI,TAMIL NADU,600128.0,421
NEW DELHI,DELHI,110058.0,422
PICHHORE SHIVPURI DISTRICT,MADHYA PRADESH,473995.0,423
LUCKNOW,UTTAR PRADESH,226025.0,424
SIKANDARABAD INDUSTRIAL AREA,UTTAR PRADESH,203205.0,425
MUMBAI,MAHARASHTRA,400098.0,426
THIRUVANANTHAPURAM,KERALA,695005.0,427
MAVELIKKARA,KERALA,690107.0,428
KOLKATA,WEST BENGAL,700022.0,429
THANE,MAHARASHTRA,400615.0,430
MYSURU,KARNATAKA,570001.0,431
QADIAN,PUNJAB,143516.0,432
BHUBANESWAR,ODISHA,751021.0,433
KALABURGI,KARNATAKA,585101.0,434
NAGPUR,MAHARASHTRA,440003.0,435
Rangareddy,TELANGANA,509327.0,436
HYDERABAD,TELANGANA,500013.0,437
Ahmedabad,Gujarat,380054.0,438
CHENNAI,TAMIL NADU,600063.0,439
DHARMANAGAR,TRIPURA,799250.0,440
JAIPUR,RAJASTHAN,302012.0,441
Jhajjar,HARYANA,124103.0,442
HYDERABAD,TELANGANA,500005.0,443
BENGALURU,KARNATAKA,560105.0,444
JAMSHEDPUR,JHARKHAND,831005.0,445
VADODARA,Gujarat,390016.0,446
MEERUT,UTTAR PRADESH,250001.0,447
GORAKHPUR,UTTAR PRADESH,273004.0,448
MUDBIDRI,KARNATAKA,574227.0,449
VASCO DA GAMA,GOA,403802.0,450
NADIAD,Gujarat,387001.0,451
Janipur,JAMMU & KASHMIR,180007.0,452
Nagpur,MAHARASHTRA,440015.0,453
GHAZIABAD,UTTAR PRADESH,201009.0,454
HYDERABAD,TELANGANA,500006.0,455
VISAKHAPATNAM,ANDHRA PRADESH,530027.0,456
KANPURKanpur,UTTAR PRADESH,208013.0,457
HYDERABAD,TELANGANA,500098.0,458
Hamirpur,UTTAR PRADESH,210504.0,459
CHENNAI,TAMIL NADU,600086.0,460
AMRITSAR,PUNJAB,143001.0,461
NEW DELHI,DELHI,110039.0,462
COIMBATORE,TAMIL NADU,641037.0,463
PALI,RAJASTHAN,306401.0,464
BASSEIN,MAHARASHTRA,401201.0,465
THIRUVALLA,KERALA,689101.0,466
IMPHAL,MANIPUR,795113.0,467
AMBASAMUDRAM,TAMIL NADU,627401.0,468
Pathanamthitta,KERALA,689698.0,469
Chennai,TAMIL NADU,600002.0,470
Vizianagaram,ANDHRA PRADESH,535002.0,471
CHITTOOR district,ANDHRA PRADESH,517113.0,472
RAE BARELI,UTTAR PRADESH,229001.0,473
Benipur,BIHAR,847201.0,474
KHATIMA,UTTARAKHAND,262308.0,475
ERODE,TAMIL NADU,638005.0,476
BOKARO STEEL CITY,JHARKHAND,827012.0,477
Ulhasnagar,MAHARASHTRA,421001.0,478
INDORE,MADHYA PRADESH,452010.0,479
HALWARA,PUNJAB,141106.0,480
THANE,MAHARASHTRA,401101.0,481
BENGALURU,KARNATAKA,560056.0,482
"Neelakudi, Thiruvarur",TAMIL NADU,610005.0,483
JAIPUR,RAJASTHAN,302021.0,484
CUTTACK,ODISHA,753009.0,485
KOLKATA,WEST BENGAL,700032.0,486
VIJAYAWADA,ANDHRA PRADESH,520015.0,487
VASAI VIRAR,MAHARASHTRA,401209.0,488
SHIMLA,HIMACHAL PRADESH,171009.0,489
COIMBATORE,TAMIL NADU,641062.0,490
DARBHANGA,BIHAR,846003.0,491
BURDWAN,WEST BENGAL,713101.0,492
HYDERABAD,TELANGANA,500055.0,493
KOLKATA,WEST BENGAL,700017.0,494
Secunderabad,TELANGANA,500094.0,495
MIHAN,MAHARASHTRA,441110.0,496
KHURJA,UTTAR PRADESH,203131.0,497
NEW DELHI,DELHI,110029.0,498
Choglamsar,LADAKH,194104.0,499
BENGALURU,KARNATAKA,560033.0,500
YAVATMAL,MAHARASHTRA,445001.0,501
Allahabad,UTTAR PRADESH,212404.0,502
REDHAKHOL,ODISHA,768106.0,503
FARIDABAD,HARYANA,121002.0,504
CHENNAI,TAMIL NADU,600071.0,505
SHILLONG,MEGHALAYA,793018.0,506
HYDERABAD,TELANGANA,500084.0,507
FARIDPUR BAREILLY DISTRICT,UTTAR PRADESH,243503.0,508
Rourkela,ODISHA,769015.0,509
VIZIANAGARAM,ANDHRA PRADESH,535004.0,510
JAIPUR,RAJASTHAN,302019.0,511
DHARWAD,KARNATAKA,580003.0,512
DAULATPUR,HIMACHAL PRADESH,177204.0,513
JALNA,MAHARASHTRA,431203.0,514
KARIMNAGAR,TELANGANA,505001.0,515
NEW DELHI,DELHI,110033.0,516
"ARVI,Dist- wardha",MAHARASHTRA,442201.0,517
Kurseong,WEST BENGAL,734203.0,518
HYDERABAD,TELANGANA,500015.0,519
NANDURA,MAHARASHTRA,443404.0,520
DIU,DADRA AND NAGAR,362570.0,521
MUMBAI 400101,MAHARASHTRA,400101.0,522
GHAZIABAD,UTTAR PRADESH,201010.0,523
Chennai,TAMIL NADU,600012.0,524
PONNERI,TAMIL NADU,601204.0,525
HYDERABAD,TELANGANA,500049.0,526
SERAMPORE,WEST BENGAL,712249.0,527
Kinnigoli,KARNATAKA,574141.0,528
MIRZAPUR CUM VINDHYACHAL,UTTAR PRADESH,231001.0,529
BENGALURU,KARNATAKA,560016.0,530
DIBRUGARH,ASSAM,786001.0,531
THANE,MAHARASHTRA,401105.0,532
BENGALURU,KARNATAKA,560066.0,533
Deganga,WEST BENGAL,743438.0,534
KOLKATA,WEST BENGAL,700033.0,535
KARIMGANJ,ASSAM,788710.0,536
AHMEDABAD,Gujarat,382340.0,537
ALATHUR,KERALA,678572.0,538
Aluva,KERALA,683102.0,539
CHENNAI,TAMIL NADU,600083.0,540
AZAMGARH,UTTAR PRADESH,276141.0,541
CHENGAMANAD,KERALA,683102.0,542
NAGPUR,MAHARASHTRA,441110.0,543
NIZAMABAD,TELANGANA,503001.0,544
LONI KALBHOR,MAHARASHTRA,412201.0,545
KHELARI,JHARKHAND,829205.0,546
Mira road,MAHARASHTRA,401107.0,547
BENGALURU,KARNATAKA,560097.0,548
GHAZIPUR,UTTAR PRADESH,233001.0,549
KOLKATA,WEST BENGAL,700034.0,550
PUNE,MAHARASHTRA,411048.0,551
CUTTACK,ODISHA,753001.0,552
KALABURGI,KARNATAKA,585104.0,553
KATIHAR,BIHAR,855102.0,554
BENGALURU,KARNATAKA,560086.0,555
NAGERCOIL,TAMIL NADU,629002.0,556
MUMBAI,MAHARASHTRA,400077.0,557
KOTHAGUDEM,TELANGANA,507101.0,558
BHINDER,RAJASTHAN,313603.0,559
AHMEDABAD,Gujarat,382481.0,560
CHENNAI,TAMIL NADU,600078.0,561
JALANDHAR,PUNJAB,144005.0,562
NARASAPUR,ANDHRA PRADESH,534275.0,563
PALAKKAD,KERALA,678502.0,564
PARVATHIPURAM,ANDHRA PRADESH,535501.0,565
PUNE,MAHARASHTRA,411024.0,566
Mumbai,MAHARASHTRA,400030.0,567
SATNA,MADHYA PRADESH,485001.0,568
Padur,TAMIL NADU,603103.0,569
MADURAI,TAMIL NADU,625007.0,570
MUMBAI,MAHARASHTRA,400029.0,571
BALLIA,UTTAR PRADESH,277001.0,572
PUNE,MAHARASHTRA,411041.0,573
FARIDABAD,HARYANA,121003.0,574
KALYAN,MAHARASHTRA,421204.0,575
DEVARAKONDA,TELANGANA,508248.0,576
GURUGRAM,HARYANA,122017.0,577
THRISSUR,KERALA,680003.0,578
Bangalore,KARNATAKA,560061.0,579
BENGALURU,KARNATAKA,560057.0,580
BENGALURU,KARNATAKA,560032.0,581
DHARMAPURI,TAMIL NADU,636701.0,582
MEERUT,UTTAR PRADESH,250002.0,583
SECUNDERABAD,TELANGANA,500009.0,584
NOIDA,UTTAR PRADESH,201305.0,585
DANGUWAPASI,JHARKHAND,833212.0,586
DHEMAJI,ASSAM,786189.0,587
PULGAON,MAHARASHTRA,442302.0,588
AKATHIYOOR,KERALA,680542.0,589
Shakarpur,DELHI,110092.0,590
KOLKATA,WEST BENGAL,700004.0,591
Imphal east,MANIPUR,795008.0,592
CHEBROLU,ANDHRA PRADESH,522212.0,593
Alappuzha,KERALA,688006.0,594
AKBARPUR,UTTAR PRADESH,224122.0,595
NAGPUR,MAHARASHTRA,441111.0,596
NABAGRAM COLONY,WEST BENGAL,712246.0,597
KOLKATA,WEST BENGAL,700074.0,598
THANE,MAHARASHTRA,400604.0,599
KOZHIKODE,KERALA,673574.0,600
PUDUCHERRY,PUDUCHERRY,605009.0,601
